AcceptedNameGBIF;OriginalNameDB;ID_GBIF;Kingdom;Order;Family;Phylum;Class;EstablishmentMeans;Pathways;FunctionalGroup;Group;NativeCountry;InvadedCountry;InvadedCountryISO3;AffectedNativeSpecies;EICATImpact;Mechanisms;EICAT_by_Mechanism;Habitat;FirstRecords;OldestDate;Source_Data
Oncorhynchus mykiss;Oncorhynchus mykiss;5204019;Metazoa;salmoniformes;Salmonidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Oncorhynchus tshawytscha;Oncorhynchus tshawytscha;5204024;Metazoa;salmoniformes;Salmonidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ondatra zibethicus;Ondatra zibethicus;5219858;Metazoa;rodentia;Muridae;chordata;mammalia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Oreochromis aureus;Oreochromis aureus;2372367;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Oreochromis niloticus;Oreochromis niloticus;4285694;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Oryza barthii;Oryza barthii;2703457;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Oryza longistaminata;Oryza longistaminata;2703462;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Osmerus eperlanus;Osmerus eperlanus;2410854;Metazoa;osmeriformes;Osmeridae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Osteopilus septentrionalis;Osteopilus septentrionalis;2428083;Metazoa;anura;Hylidae;chordata;amphibia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Oxyura jamaicensis;Oxyura jamaicensis;2498305;Metazoa;anseriformes;Anatidae;chordata;aves;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
